ticker,anchor,breakout_date,breakout_close,ret_12w_pct,sort_key
010280,2025-05-23,2025-05-28,5139.0,-1.36,004f0cd261fcf09e9ec4aa13ad8af6b8
402490,2026-04-10,2026-04-14,17300.0,-58.15,00886740478bbb860606aef8c5161ff1
035720,2025-06-20,2025-06-23,67600.0,-6.95,009a6cf9ccc9f8fee818541aad63d8e6
056080,2026-01-16,2026-01-19,32850.0,-21.0,00cc5f179423c542983f0b634b64a202
277810,2026-01-23,2026-01-26,679000.0,-9.87,0114f51091e5745b791c951a7b4a8055
251270,2025-09-12,2025-09-17,68000.0,-27.57,0282d6a5b6aa7031a9880b9174a12a5c
054220,2026-02-20,2026-02-24,4645.0,-51.88,02a7f8ad36806f5b5638cc6d42fa3fac
029780,2024-08-02,2024-08-23,44850.0,-7.25,02cd43f9ab57a357aed22db9f600aab2
067830,2025-05-30,2025-06-04,2745.0,-4.01,03470c8736472b4342b30fc0cb5f868c
178320,2026-03-20,2026-04-14,49950.0,-21.42,039d4ec4b1694af0170ce09bef3e93cf
064850,2024-08-16,2024-08-28,9340.0,-9.85,03ffaab055865778846969bc78ce3580
006050,2024-10-18,2024-10-29,2085.0,-10.31,04e09821217221b02e773270670ecc09
037350,2026-02-27,2026-03-20,12390.0,-26.15,0507d7cd62e087cc4da819ddd16ca431
388790,2026-03-27,2026-04-13,7520.0,-35.37,0530b01fe4bfa1eb8b9ae3a9c47b244e
419530,2025-05-16,2025-05-26,70500.0,-16.6,054d9cb3a35f86da89a94e5841cc1818
037030,2025-08-29,2025-09-03,3070.0,-14.01,055f410c944fe445db21c1137cce6dde
244920,2024-11-08,2024-11-29,4760.0,-14.39,05c5ecd955875ad0c774f4792ff1cae1
322180,2025-12-26,2026-01-02,10060.0,-33.1,05e71c14faf549d2f5f5d714b6dfdbf5
051500,2025-06-27,2025-07-22,30300.0,-15.35,061cd3380d5c8529cbef4a430a200da2
300080,2025-10-24,2025-10-28,17470.0,-1.37,063bcbb3bf8d2a56113a0ccf7b01febe
042660,2025-02-14,2025-03-04,85100.0,-8.34,06400840c57577c422d76601ce35a546
009160,2025-05-16,2025-05-23,4530.0,-2.98,065048d0693156cca5ebb08d067bd748
130500,2024-08-09,2024-08-14,3515.0,-18.35,06a9311ddfab3609ca6cdff529595251
067310,2025-10-02,2025-10-13,27750.0,-0.9,06bf233c3e18c5af83f8037d373cf0d2
204610,2024-12-20,2025-01-08,1628.0,-4.24,0705c429f14eb8e88818c086a1058d18
222040,2025-05-16,2025-05-21,4680.0,-16.35,0706d81fc7436e3c019a2521fad2bc4e
005810,2025-06-13,2025-06-23,51200.0,-13.67,071306d86e34b8f61f622f836c87c2e4
134790,2024-11-01,2024-11-06,33800.0,-32.69,073856c321f14fb47e5e4fad18cb87d4
207940,2024-08-30,2024-09-19,1543859.0,-7.15,076f3bb94d1d830346df9fe99fc92b65
023530,2025-05-23,2025-05-29,78700.0,-15.5,07af302a15a8ce4711b899dc12434498
039490,2026-02-06,2026-02-19,487500.0,-22.56,08109a83da4b88baf0fd359306488b5e
000590,2025-05-30,2025-06-09,92300.0,-7.91,08aa3281d01e6351899c74a2e18b5251
045390,2025-05-23,2025-06-05,4700.0,-0.85,090dadf17252d4749b1f23b92e3876fa
322780,2025-08-08,2025-08-12,7890.0,-9.51,0940582c331667fb4b32a011c9e9b5fc
192080,2024-09-13,2024-10-15,51600.0,-3.59,09b70545369b578f73fcce6ae9aa873a
003100,2025-06-20,2025-07-10,23000.0,-19.78,09e899dbd613715dfef4028bf101b695
290740,2026-01-02,2026-01-07,17600.0,-11.08,0a20e54f0ab60e24407b9757b2ddeb36
052420,2024-08-02,2024-08-12,28150.0,-50.62,0a2ea1a5ab1b96807e23113b7a681464
036890,2025-09-19,2025-10-23,13660.0,-0.59,0a3172cef1a4a89398b6417203ee7a46
354320,2026-04-03,2026-04-13,81300.0,-61.69,0a97d1185f9884c219ec5956e1b430a4
