date,index_code,sigma,raw_ratio,ratio_applied,clamped,status_base,status_corrected,status_differs,ftd_date_base,ftd_date_corrected,dist_count_base,dist_count_corrected,fwd_return_5d,fwd_return_10d
2026-02-23,1001,1.525,1.525,1.525,False,confirmed_uptrend,confirmed_uptrend,False,2026-02-20,2026-02-20,3,2,-0.94,-5.37
2026-02-24,1001,1.529,1.529,1.529,False,confirmed_uptrend,confirmed_uptrend,False,2026-02-24,2026-02-20,3,2,-14.68,-6.03
2026-02-25,1001,1.531,1.531,1.531,False,confirmed_uptrend,confirmed_uptrend,False,2026-02-24,2026-02-20,3,2,-8.22,-8.22
2026-02-26,1001,1.545,1.545,1.545,False,confirmed_uptrend,confirmed_uptrend,False,2026-02-24,2026-02-20,3,2,-11.46,-13.0
2026-02-27,1001,1.547,1.547,1.547,False,confirmed_uptrend,confirmed_uptrend,False,2026-02-24,2026-02-20,2,1,-15.9,-11.13
2026-03-03,1001,1.62,1.62,1.62,False,confirmed_uptrend,confirmed_uptrend,False,2026-02-24,2026-02-20,3,2,-4.47,-2.61
2026-03-04,1001,1.797,1.797,1.797,False,confirmed_uptrend,confirmed_uptrend,False,2026-02-24,2026-02-03,4,3,10.13,16.34
2026-03-05,1001,1.89,1.89,1.89,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-05,2026-03-05,4,3,0.0,3.22
2026-03-06,1001,1.89,1.89,1.89,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-05,2026-03-05,4,3,-1.74,3.53
2026-03-09,1001,1.931,1.931,1.931,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-05,2026-03-05,4,3,5.68,2.93
2026-03-10,1001,1.956,1.956,1.956,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-05,2026-03-05,4,3,1.95,0.38
2026-03-11,1001,1.957,1.957,1.957,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-05,2026-03-05,4,3,5.63,0.59
2026-03-12,1001,1.957,1.957,1.957,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-05,2026-03-05,4,3,3.22,-2.2
2026-03-13,1001,1.947,1.947,1.947,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-05,2026-03-05,5,4,5.36,-0.89
2026-03-16,1001,1.947,1.947,1.947,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-05,2026-03-05,5,4,-2.6,-4.9
2026-03-17,1001,1.948,1.948,1.948,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-17,2026-03-05,5,4,-1.54,-10.43
2026-03-18,1001,1.971,1.971,1.971,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-18,2026-03-18,4,3,-4.78,-7.54
2026-03-19,1001,1.98,1.98,1.98,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-18,2026-03-18,5,4,-5.26,-9.18
2026-03-20,1001,1.98,1.98,1.98,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-18,2026-03-18,5,4,-5.93,-6.99
2026-03-23,1001,2.024,2.024,2.024,False,confirmed_uptrend,confirmed_uptrend,False,2026-03-18,2026-03-18,5,4,-2.37,0.83
